id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
156	2022	1	2	2	1	3	2	3	2	2	2	2	4	3	0	1	1	1	4	3	4	4	4	4
157	2022	2	2	2	1	1	6	6	1	1	5	5	3	2	0	0	1	1	2	1	1	1	1	1
158	2022	1	2	2	1	2	6	3	1	1	11	7	3	2	0	1	1	1	1	1	1	2	1	1
159	2022	1	2	2	1	1	2	8	1	1	1	1	3	2	0	1	1	1	4	2	3	3	3	3
160	2022	2	1	2	1	1	2	12	1	2	3	3	7	4	0	0	0	1	2	2	2	2	3	2
161	2022	1	2	2	1	1	6	3	1	1	3	10	1	2	0	0	1	1	3	1	1	2	1	1
162	2022	1	2	2	1	2	2	15	1	1	5	5	6	2	0	0	0	0	2	2	2	2	2	2
163	2022	1	1	2	1	3	2	3	1	2	3	3	1	5	0	0	0	1	2	2	2	1	2	2
164	2022	1	1	2	1	1	2	15	1	2	10	10	7	5	0	0	0	0	2	2	1	2	2	2
165	2022	1	1	2	1	3	2	28	1	1	10	10	1	3	1	0	0	1	3	3	4	4	2	4
166	2022	2	2	2	1	2	3	12	1	2	2	8	7	3	0	0	1	0	2	1	2	2	1	1
167	2022	1	1	2	1	1	6	12	1	2	6	7	1	3	0	0	0	1	3	3	4	2	4	4
168	2022	2	2	2	1	1	3	11	1	2	3	10	1	3	0	1	0	1	2	1	2	1	1	1
169	2022	1	2	2	1	3	1	3	1	2	5	2	1	3	0	0	1	1	3	1	3	2	1	2
170	2022	1	2	2	1	3	6	3	1	2	7	7	1	3	0	1	1	0	2	3	1	2	2	2
171	2022	1	2	2	1	1	6	14	1	2	2	3	2	5	0	0	0	1	1	3	4	2	3	3
172	2022	1	2	2	1	1	1	8	1	2	2	5	2	3	0	0	0	1	2	1	1	1	2	1
173	2022	1	2	2	1	1	2	13	1	2	1	3	3	2	1	1	1	1	4	3	4	4	4	4
174	2022	1	1	2	1	1	6	6	1	2	2	2	1	4	0	0	0	1	4	4	2	4	3	4
175	2022	1	2	2	1	3	2	3	2	2	7	7	2	2	0	1	1	1	4	3	4	4	3	4
176	2022	1	2	2	1	3	1	3	1	2	7	6	2	3	0	0	1	1	3	3	2	1	3	2
177	2022	1	1	2	1	3	6	3	1	2	2	3	1	1	0	0	0	1	4	4	4	4	4	4
178	2022	1	1	2	1	1	1	3	1	1	5	2	1	2	0	0	0	0	4	4	4	4	4	4
179	2022	1	2	2	1	2	1	19	1	2	5	4	2	3	0	0	0	1	1	2	2	2	1	1
180	2022	1	2	2	1	3	2	3	2	1	2	1	2	3	0	1	1	1	4	4	4	4	4	4
181	2022	1	2	2	1	2	6	22	1	2	1	5	1	2	1	1	1	0	1	1	1	1	1	1
