ID;periodo;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;estu_genero;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;punt_ingles;punt_matematicas;punt_sociales_ciudadanas;punt_c_naturales;punt_lectura_critica;punt_global
155;20224;2;2;2;1;1;3;3;1;2;3;10;7;0;3;3;0;3;2;1;2;2;2;2
156;20224;1;1;2;1;1;2;12;1;2;5;5;2;3;0;0;1;0;2;3;2;2;3;3
157;20224;1;1;0;1;1;2;29;1;2;7;1;2;3;0;1;0;1;2;2;2;2;2;3
158;20224;1;1;2;1;2;6;17;1;1;6;2;1;2;0;1;0;1;2;2;2;2;2;2
159;20224;2;2;2;1;1;2;3;1;2;5;9;4;3;0;1;1;1;3;3;2;3;3;3
160;20224;2;2;2;1;3;3;19;1;2;4;8;1;4;0;0;1;0;2;2;2;2;3;3
161;20224;1;2;0;1;1;6;23;1;2;5;10;2;3;0;0;1;1;3;2;2;2;3;3
162;20224;1;2;2;1;3;2;3;1;2;7;6;1;2;0;0;0;1;2;2;2;2;2;2
163;20224;1;2;2;1;1;6;13;1;1;2;4;3;1;0;0;0;1;2;2;2;2;2;3
164;20224;1;2;2;1;3;3;3;1;2;3;3;7;0;3;3;0;3;2;2;2;2;2;3
165;20224;1;2;2;1;2;6;16;1;1;4;5;1;4;0;0;0;0;2;2;2;2;2;3
166;20224;1;2;2;1;2;6;3;1;2;11;7;3;2;1;1;1;1;2;2;2;2;2;2
167;20224;1;2;2;1;1;1;8;1;1;1;1;2;1;0;0;0;1;2;2;2;2;2;2
168;20224;1;2;0;1;3;1;3;1;2;7;3;1;2;0;0;1;1;2;2;1;2;2;3
169;20224;1;2;2;1;2;6;22;1;2;4;3;1;2;0;0;1;0;2;2;2;2;2;3
170;20224;1;1;2;1;1;6;8;1;1;4;10;1;4;0;0;0;0;2;2;2;2;2;3
171;20224;1;2;2;1;1;2;28;1;1;5;2;7;2;0;0;1;1;2;2;2;2;2;2
172;20224;1;2;2;1;1;1;4;1;1;5;2;1;3;0;1;1;1;2;1;1;2;2;2
173;20224;2;2;2;1;3;3;9;1;1;3;3;1;5;0;0;1;0;2;2;2;2;2;3
174;20224;1;2;2;1;3;2;3;2;1;1;1;4;2;1;0;1;1;2;2;2;2;3;3
175;20224;1;2;2;1;2;2;19;1;2;7;2;2;3;0;1;1;0;2;3;2;3;3;3
176;20224;2;2;2;1;3;1;3;1;1;11;5;7;4;0;0;1;1;2;2;2;2;1;2
177;20224;1;1;2;1;1;6;3;1;2;11;5;3;3;0;0;0;0;1;1;1;2;2;2
178;20224;2;2;2;1;1;2;27;1;1;5;2;1;3;0;0;1;1;2;2;1;2;2;2
179;20224;1;2;2;1;1;6;24;1;1;5;5;1;3;0;0;0;1;2;2;1;2;2;2
180;20224;1;2;2;1;1;2;8;1;1;7;2;1;3;0;0;0;1;3;2;2;2;3;3
181;20224;1;2;2;1;3;2;3;2;1;1;1;3;2;1;1;1;1;3;3;3;3;3;4
182;20224;1;2;0;1;3;2;19;2;2;9;9;2;1;1;1;1;1;3;3;2;3;2;3
183;20224;1;1;0;1;3;2;28;1;2;0;0;0;3;0;0;3;1;2;2;2;2;2;2
184;20224;1;2;2;1;3;1;3;1;2;7;7;1;3;0;0;0;1;3;2;3;2;3;3
185;20224;1;2;2;1;2;6;16;1;2;2;9;1;2;0;1;1;1;2;2;2;2;2;3
186;20224;1;1;2;1;2;6;13;1;2;0;0;0;5;0;0;3;1;2;2;1;2;2;2
187;20224;1;2;2;1;2;6;22;1;1;6;6;4;3;0;1;1;1;2;2;1;2;2;2
188;20224;2;2;2;1;1;6;8;1;1;2;2;3;3;0;0;0;0;2;2;2;2;2;2
189;20224;2;2;2;1;1;6;17;1;1;4;4;7;2;0;0;0;1;1;2;2;2;3;2
190;20224;1;1;2;1;1;2;7;1;2;7;4;7;1;0;0;0;0;2;2;2;2;2;3
191;20224;1;2;2;1;1;4;9;1;2;2;6;2;3;0;0;1;1;3;3;2;2;3;3
192;20224;1;2;2;1;1;6;13;1;2;1;8;2;3;1;0;0;1;3;3;3;3;3;3
193;20224;1;2;0;1;3;1;3;1;1;10;3;2;4;0;0;1;1;2;3;2;2;2;3
194;20224;1;2;2;1;3;3;3;1;2;8;7;2;4;0;0;1;0;2;3;2;3;3;3
195;20224;1;2;2;1;1;2;16;1;1;5;5;3;2;0;0;1;1;2;3;3;3;3;3
